TradeSubmittedOn,StatusChangedOn,MarketIdentifierCode,MarketName,SecurityExchangeSymbol,SecurityClientIdentifier,SecuritySedol,SecurityIsin,SecurityFigi,SecurityCusip,SecurityLei,SecurityBloombergTicker,SecurityIssuerIdentifier,SecurityName,SecurityCfi,OrderType,OrderPosition,OrderStatus,OrderedVolume,FulfilledVolume,LimitPrice,ExecutedPrice,OrderCurrency,TraderId,ClientAttributionId,AccountId,DealerInstructions,TradeRationale,TradeStrategy,PartyBrokerId,CounterPartyBrokerId
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,100,100,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,100,100,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:03,01/09/2018 01:03,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,10,10,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,100,100,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Cancelled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,STAN,STAN,ST12345,STAN12345678,STANFIGI,STANCUSIP,STANLEI,STAN,Standard Chartered,Standard Chartered,ESNTPB,Market,Buy,Fulfilled,100,100,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:03,01/09/2018 01:03,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Cancelled,10,10,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Cancelled,100,100,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:03,01/09/2018 01:03,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Cancelled,10,10,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Cancelled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Cancelled,100,100,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Cancelled,10000,10000,,12.5,GBP,1,,,,,,1,1
01/09/2018 01:01,01/09/2018 01:01,XLON,London Stock Exchange,HSBC,HSBC,HSBC123,HSBC12345678,HSBCFIGI,HSBCCUSIP,HSBCLEI,HSBC,Hongkong and Shanghai Banking Corporation,Hongkong and Shanghai Banking Corporation,ESNTPB,Market,Buy,Cancelled,100,100,,12.5,GBP,1,,,,,,1,1
